"Weight.class","Winner","Loser","Method","Round","Time","Method.details"
"Flyweight","Yuta Sasaki","Willie Gates","Submission","2","3:30","(rear-naked choke)"
"Light Heavyweight","Jon Jones","Ovince Saint Preux","Decision","5","5:00","(unanimous) (50-44, 50-45, 50-45)"
"Flyweight","Demetrious Johnson (c)","Henry Cejudo","TKO","1","2:49","(knees and punches)"
"Lightweight","Edson Barboza","Anthony Pettis","Decision","3","5:00","(unanimous) (29-28, 29-28, 30-27)"
"Middleweight","Robert Whittaker","Rafael Natal","Decision","3","5:00","(unanimous) (29-28, 30-27, 30-27)"
"Featherweight","Yair Rodríguez","Andre Fili","KO","2","2:15","(flying head kick)"
"Flyweight","Sergio Pettis","Chris Kelades","Decision","3","5:00","(unanimous) (30-27, 30-27, 30-27)"
"Welterweight","Danny Roberts","Dominique Steele","Decision","3","5:00","(unanimous) (29-28, 29-28, 29-28)"
"Women's Strawweight","Carla Esparza","Juliana Lima","Decision","3","5:00","(unanimous) (30-27, 30-27, 30-27)"
"Lightweight","James Vick","Glaico França","Decision","3","5:00","(unanimous) (29-28, 29-28, 30-27)"
"Heavyweight","Walt Harris","Cody East","TKO","1","4:18","(punches)"
"Light Heavyweight","Marcos Rogério de Lima","Clint Hester","Submission","1","4:35","(arm-triangle choke)"
"Lightweight","Kevin Lee","Efrain Escudero","Decision","3","5:00","(unanimous) (29-28, 29-28, 29-28)"
"Light Heavyweight","Glover Teixeira","Rashad Evans","KO","1","1:48","(punches)"
"Women's Strawweight","Rose Namajunas","Tecia Torres","Decision","3","5:00","(unanimous) (29-28, 29-28, 29-28)"
"Catchweight (160 lbs)","Khabib Nurmagomedov","Darrell Horcher","TKO","2","3:38","(punches)"
"Featherweight","Cub Swanson","Hacran Dias","Decision","3","5:00","(unanimous) (29-28, 29-28, 29-28)"
"Lightweight","Michael Chiesa","Beneil Dariush","Submission","2","1:20","(rear-naked choke)"
"Women's Bantamweight","Raquel Pennington","Bethe Correia","Decision","3","5:00","(split) (29-28, 28-29, 29-28)"
"Welterweight","Santiago Ponzinibbio","Court McGee","TKO","1","4:15","(punches)"
"Welterweight","Michael Graves","Randy Brown","Submission","2","2:31","(rear-naked choke)"
"Bantamweight","John Dodson","Manvel Gamburyan","TKO","1","0:37","(punches)"
"Middleweight","Cezar Ferreira","Oluwale Bamgbose","Decision","3","5:00","(unanimous) (29-28, 29-28, 29-27)"
"Welterweight","Elizeu Zaleski dos Santos","Omari Akhmedov","TKO","3","3:03","(punches and knees)"
"Heavyweight","Junior dos Santos","Ben Rothwell","Decision","5","5:00","(unanimous) (50-45, 50-45, 50-45)"
"Heavyweight","Derrick Lewis","Gabriel Gonzaga","KO","1","4:48","(punches)"
"Heavyweight","Francis Ngannou","Curtis Blaydes","TKO","2","5:00","(doctor stoppage)"
"Heavyweight","Timothy Johnson","Marcin Tybura","Decision","3","5:00","(unanimous) (29-28, 29-28, 29-28)"
"Light Heavyweight","Jan Błachowicz","Igor Pokrajac","Decision","3","5:00","(unanimous) (29-28, 29-28, 29-28)"
"Women's Strawweight","Maryna Moroz","Cristina Stanciu","Decision","3","5:00","(unanimous) (30-27, 30-27, 30-27)"
"Welterweight","Zak Cummings","Nicolas Dalby","Decision","3","5:00","(unanimous) (30-27, 30-27, 30-27)"
"Bantamweight","Alejandro Pérez","Ian Entwistle","TKO","1","4:04","(punches)"
"Lightweight","Mairbek Taisumov","Damir Hadžović","KO","1","3:44","(punch)"
"Bantamweight","Damian Stasiak","Filip Pejić","Submission","1","2:16","(rear-naked choke)"
"Featherweight","Lucas Martins","Robert Whiteford","Decision","3","5:00","(split) (29-28, 28-29, 30-27)"
"Heavyweight","Jared Cannonier","Cyril Asker","KO","1","2:44","(punches and elbows)"
"Middleweight","Bojan Veličković","Alessio Di Chirico","Decision","3","5:00","(unanimous) (29-28, 29-28, 30-27)"
"Heavyweight","Mark Hunt","Frank Mir","KO","1","3:01","(punch)"
"Welterweight","Neil Magny","Hector Lombard","TKO","3","0:46","(punches)"
"Lightweight","Jake Matthews","Johnny Case","Submission","3","4:45","(rear-naked choke)"
"Middleweight","Dan Kelly","Antônio Carlos Júnior","TKO","3","1:36","(punches)"
"Light Heavyweight","Steve Bossé","James Te-Huna","KO","1","0:52","(punch)"
"Women's Strawweight","Bec Rawlings","Seohee Ham","Decision","3","5:00","(unanimous) (30-27, 30-27, 29-28)"
"Welterweight","Alan Jouban","Brendan O'Reilly","TKO","1","2:15","(elbows and punches)"
"Featherweight","Dan Hooker","Mark Eddiva","Submission","1","1:24","(guillotine choke)"
"Women's Bantamweight","Leslie Smith","Rin Nakai","Decision","3","5:00","(unanimous) (30-27, 29-28, 29-28)"
"Welterweight","Viscardi Andrade","Richard Walsh","Decision","3","5:00","(unanimous) (29-28, 29-28, 29-28)"
"Lightweight","Ross Pearson","Chad Laprise","Decision","3","5:00","(split) (28-30, 30-27, 29-28)"
"Lightweight","Alan Patrick","Damien Brown","Decision","3","5:00","(unanimous) (30-26, 30-27, 30-27)"
"Welterweight","Nate Diaz","Conor McGregor","Submission","2","4:12","(rear-naked choke)"
"Women's Bantamweight","Miesha Tate","Holly Holm (c)","Submission","5","3:30","Technical  (rear-naked choke)"
"Light Heavyweight","Ilir Latifi","Gian Villante","Decision","3","5:00","(unanimous) (30-27, 30-27, 30-27)"
"Light Heavyweight","Corey Anderson","Tom Lawlor","Decision","3","5:00","(unanimous) (30-27, 30-27, 29-28)"
"Women's Bantamweight","Amanda Nunes","Valentina Shevchenko","Decision","3","5:00","(unanimous) (29-28, 29-27, 29-27)"
"Welterweight","Siyar Bahadurzada","Brandon Thatch","Submission","3","4:11","(arm-triangle choke)"
"Welterweight","Nordine Taleb","Erick Silva","KO","2","1:34","(punches)"
"Middleweight","Vitor Miranda","Marcelo Guimarães","TKO","2","1:09","(head kick and punches)"
"Featherweight","Darren Elkins","Chas Skelly","Decision","3","5:00","(unanimous) (30-27, 29-27, 30-26)"
"Lightweight","Diego Sanchez","Jim Miller","Decision","3","5:00","(unanimous) (29-28, 29-28, 29-28)"
"Lightweight","Jason Saggo","Justin Salas","TKO","1","4:31","(punches)"
"Featherweight","Teruto Ishihara","Julian Erosa","KO","2","0:34","(punches)"
"Middleweight","Michael Bisping","Anderson Silva","Decision","5","5:00","(unanimous) (48-47, 48-47, 48-47)"
"Middleweight","Gegard Mousasi","Thales Leites","Decision","3","5:00","(unanimous) (30-27, 29-28, 30-27)"
"Welterweight","Tom Breese","Keita Nakamura","Decision","3","5:00","(unanimous) (30-27, 30-27, 29-28)"
"Bantamweight","Brad Pickett","Francisco Rivera","Decision","3","5:00","(split) (29-28, 28-29, 29-28)"
"Featherweight","Makwan Amirkhani","Mike Wilkinson","Decision","3","5:00","(unanimous) (29-28, 30-27, 29-28)"
"Bantamweight","Davey Grant","Marlon Vera","Decision","3","5:00","(unanimous) (30-26, 30-26, 30-26)"
"Middleweight","Scott Askham","Chris Dempsey","KO","1","4:45","(punch and head kick)"
"Featherweight","Arnold Allen","Yaotzin Meza","Decision","3","5:00","(unanimous) (30-27, 30-27, 30-27)"
"Middleweight","Krzysztof Jotko","Brad Scott","Decision","3","5:00","(unanimous) (29-28, 30-27, 29-28)"
"Lightweight","Rustam Khabilov","Norman Parke","Decision","3","5:00","(unanimous) (29-28, 29-28, 29-28)"
"Heavyweight","Daniel Omielańczuk","Jarjis Danho","Decision","3","1:31","Technical  (majority) (29-29, 29-28, 29-28)"
"Lightweight","Teemu Packalén","Thibault Gouti","Submission","1","0:24","(rear-naked choke)"
"Lightweight","David Teymur","Martin Svensson","TKO","2","1:26","(punches)"
"Welterweight","Donald Cerrone","Alex Oliveira","Submission","1","2:33","(triangle choke)"
"Middleweight","Derek Brunson","Roan Carneiro","TKO","1","2:38","(punches)"
"Catchweight (142 lbs)","Cody Garbrandt","Augusto Mendes","KO","1","4:18","(punches)"
"Featherweight","Dennis Bermudez","Tatsuya Kawajiri","Decision","3","5:00","(unanimous) (29-28, 29-28, 29-28)"
"Middleweight","Chris Camozzi","Joe Riggs","TKO","1","0:26","(knees)"
"Lightweight","James Krause","Shane Campbell","Decision","3","5:00","(unanimous) (29-28, 29-28, 29-28)"
"Welterweight","Sean Strickland","Alex Garcia","TKO","3","4:25","(punches)"
"Middleweight","Oluwale Bamgbose","Daniel Sarafian","KO","1","1:00","(head kick and punches)"
"Middleweight","Anthony Smith","Leonardo Augusto Leleco","Decision","3","5:00","(unanimous) (29-28, 29-28, 29-28)"
"Welterweight","Nathan Coy","Jonavin Webb","Decision","3","5:00","(unanimous) (29-28, 29-28, 29-28)"
"Women's Bantamweight","Ashlee Evans-Smith","Marion Reneau","Decision","3","5:00","(split) (30-27, 28-29, 29-28)"
"Women's Bantamweight","Lauren Murphy","Kelly Faszholz","TKO","3","4:55","(elbows and punches)"
"Heavyweight","Shamil Abdurakhimov","Anthony Hamilton","Decision","3","5:00","(unanimous) (30-27, 29-28, 29-28)"
