"Weight.class","Winner","Loser","Method","Round","Time","Method.details"
"Middleweight","Luke Rockhold","Tim Boetsch","Submission","1","2:08","(inverted triangle kimura)"
"Lightweight","Jim Miller","Yancy Medeiros","Submission","1","3:18","Technical  (guillotine choke)"
"Featherweight","Max Holloway","Andre Fili","Submission","3","3:39","(guillotine choke)"
"Flyweight","Joseph Benavidez","Tim Elliott","Submission","1","4:08","(guillotine choke)"
"Lightweight","Takanori Gomi","Isaac Vallie-Flagg","Decision","3","5:00","(unanimous) (29–28, 29–28, 29–28)"
"Women's Bantamweight","Bethe Correia","Jessamyn Duke","Decision","3","5:00","(unanimous) (30–27, 29–28, 30–27)"
"Lightweight","Danny Castillo","Charlie Brenneman","KO","2","0:21","(punch)"
"Bantamweight","Chris Beal","Patrick Williams","KO","2","1:51","(flying knee)"
"Heavyweight","Fabrício Werdum","Travis Browne","Decision","5","5:00","(unanimous) (49–46, 50–45, 50–45)"
"Women's Bantamweight","Miesha Tate","Liz Carmouche","Decision","3","5:00","(unanimous) (29–28, 29–28, 29–28)"
"Lightweight","Donald Cerrone","Edson Barboza","Submission","1","3:15","(rear-naked choke)"
"Middleweight","Yoel Romero","Brad Tavares","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Lightweight","Khabib Nurmagomedov","Rafael dos Anjos","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Welterweight","Thiago Alves","Seth Baczynski","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Lightweight","Jorge Masvidal","Pat Healy","Decision","3","5:00","(unanimous) (30–27, 30–27, 29–28)"
"Featherweight","Alex White","Estevan Payan","KO","1","1:28","(punches)"
"Middleweight","Caio Magalhães","Luke Zachrich","TKO","1","0:44","(punches)"
"Welterweight","Jordan Mein","Hernani Perpétuo","Decision","3","5:00","(split) (29–28, 28–29, 29–28)"
"Flyweight","Dustin Ortiz","Ray Borg","Decision","3","5:00","(split) (29–28, 28–29, 29–28)"
"Featherweight","Mirsad Bektic","Chas Skelly","Decision","3","5:00","(majority) (29–27, 29–27, 28–28)"
"Heavyweight","Derrick Lewis","Jack May","TKO","1","4:23","(punches)"
"Middleweight","Tim Kennedy","Michael Bisping","Decision","5","5:00","(unanimous) (49–46, 49–46, 50–45)"
"Welterweight","Patrick Côté","Kyle Noke","Decision","3","5:00","(unanimous) (29–28, 29–28, 30–27)"
"Middleweight","Elias Theodorou","Sheldon Westcott","TKO","2","4:41","(punches and elbows)"
"Welterweight","Chad Laprise","Olivier Aubin-Mercier","Decision","3","5:00","(split) (28–29, 30–27, 30–27)"
"Featherweight","Dustin Poirier","Akira Corassani","TKO","2","0:42","(punches)"
"Welterweight","K.J. Noons","Sam Stout","KO","1","0:30","(punches)"
"Women's Bantamweight","Sarah Kaufman","Leslie Smith","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Light Heavyweight","Ryan Jimmo","Sean O'Connell","KO","1","4:27","(punches)"
"Bantamweight","George Roop","Dustin Kimura","Decision","3","5:00","(unanimous) (29–28, 30–27, 29–27)"
"Lightweight","Mark Bocek","Mike De La Torre","Decision","3","5:00","(split) (28–29, 30–27, 29–28)"
"Middleweight","Nordine Taleb","Vik Grujic","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Welterweight","Richard Walsh","Chris Indich","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Bantamweight","Mitch Gagnon","Tim Gorman","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Heavyweight","Roy Nelson","Antônio Rodrigo Nogueira","KO","1","3:37","(punch)"
"Featherweight","Clay Guida","Tatsuya Kawajiri","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Welterweight","Ryan LaFlare","John Howard","Decision","3","5:00","(unanimous) (29–28, 29–28, 29–28)"
"Lightweight","Ramsey Nijem","Beneil Dariush","TKO","1","4:20","(punches)"
"Heavyweight","Jared Rosholt","Daniel Omielańczuk","Decision","3","5:00","(unanimous) (30–27, 30–26, 30–27)"
"Middleweight","Thales Leites","Trevor Smith","TKO","1","0:45","(punches)"
"Featherweight","Jim Alers","Alan Omer","Decision","3","5:00","(split) (29–28, 28–29, 29–28)"
"Bantamweight","Rani Yahya","Johnny Bedford","No Contest","1","0:39","(accidental headbutt)"
"Light Heavyweight","Dan Henderson","Maurício Rua","TKO","3","1:31","(punches)"
"Middleweight","C.B. Dollaway","Cezar Ferreira","KO","1","0:39","(punches)"
"Lightweight","Leonardo Santos","Norman Parke","Draw","3","5:00","(majority) (29–27, 28–28, 28–28)"
"Light Heavyweight","Fábio Maldonado","Gian Villante","Decision","3","5:00","(unanimous) (29–27, 29–28, 29–28)"
"Lightweight","Michel Prazeres","Mairbek Taisumov","Decision","3","5:00","(unanimous) (30–25, 30–25, 30–25)"
"Featherweight","Rony Jason","Steven Siler","TKO","1","1:17","(punches)"
"Catchweight (190 lbs)","Thiago Santos","Ronny Markes","TKO","1","0:53","(body kick and punches)"
"Flyweight","Jussier Formiga","Scott Jorgensen","Submission","1","3:07","(rear-naked choke)"
"Welterweight","Kenny Robertson","Thiago Perpétuo","Submission","1","1:45","(rear-naked choke)"
"Light Heavyweight","Hans Stringer","Francimar Barroso","Decision","3","5:00","(split) (29–28, 28–29, 29–28)"
"Featherweight","Godofredo Pepey","Noad Lahat","KO","1","2:39","(flying knee)"
"Welterweight","Johny Hendricks","Robbie Lawler","Decision","5","5:00","(unanimous) (48–47, 48–47, 48–47)"
"Welterweight","Tyron Woodley","Carlos Condit","TKO","2","2:00","(knee injury)"
"Lightweight","Myles Jury","Diego Sanchez","Decision","3","5:00","(unanimous) (30–27, 30–27, 29–28)"
"Welterweight","Hector Lombard","Jake Shields","Decision","3","5:00","(unanimous) (30–27, 30–27, 29–28)"
"Light Heavyweight","Ovince Saint Preux","Nikita Krylov","Submission","1","1:29","Technical  (Von Flue choke)"
"Welterweight","Kelvin Gastelum","Rick Story","Decision","3","5:00","(split) (28–29, 29–28, 30–27)"
"Women's Bantamweight","Jéssica Andrade","Raquel Pennington","Decision","3","5:00","(split) (29–28, 28–29, 29–28)"
"Featherweight","Dennis Bermudez","Jimy Hettes","TKO","3","2:57","(punches and knee)"
"Welterweight","Alex Garcia","Sean Spencer","Decision","3","5:00","(split) (29–28, 28–29, 30–27)"
"Catchweight (157 lbs)","Francisco Trevino","Renee Forte","Decision","3","5:00","(unanimous) (29–28, 29–28, 29–28)"
"Flyweight","Justin Scoggins","Will Campuzano","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Middleweight","Sean Strickland","Bubba McDaniel","Submission","1","4:33","(rear-naked choke)"
"Featherweight","Robert Whiteford","Daniel Pineda","Decision","3","5:00","(unanimous) (30–27, 29–28, 29–28)"
"Light Heavyweight","Alexander Gustafsson","Jimi Manuwa","TKO","2","1:18","(knee and punches)"
"Lightweight","Michael Johnson","Melvin Guillard","Decision","3","5:00","(unanimous) (30–27, 30–27, 29–28)"
"Flyweight","Brad Pickett","Neil Seery","Decision","3","5:00","(unanimous) (30–27, 30–27, 29–28)"
"Welterweight","Gunnar Nelson","Omari Akhmedov","Submission","1","4:36","(guillotine choke)"
"Light Heavyweight","Ilir Latifi","Cyrille Diabaté","Submission","1","3:02","(ninja choke)[13]"
"Middleweight","Luke Barnatt","Mats Nilsson","TKO","1","4:24","(head kick and punches)"
"Middleweight","Cláudio Silva","Brad Scott","Decision","3","5:00","(unanimous) (29–28, 29–28, 29–28)"
"Welterweight","Igor Araújo","Danny Mitchell","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Flyweight","Louis Gaudinot","Phil Harris","No Contest","1","1:13","(overturned)"
"Welterweight","Dong Hyun Kim","John Hathaway","KO","3","1:02","(spinning back elbow)"
"Welterweight","Zhang Lipeng","Wang Sai","Decision","3","5:00","(split) (29–28, 27–30, 29–28)"
"Heavyweight","Matt Mitrione","Shawn Jordan","KO","1","4:59","(punches)"
"Featherweight","Hatsu Hioki","Ivan Menjivar","Decision","3","5:00","(unanimous) (29–28, 29–28, 29–28)"
"Lightweight","Yui Chul Nam","Kazuki Tokudome","Decision","3","5:00","(split) (29–27, 29–28, 27–28)"
"Bantamweight","Vaughan Lee","Nam Phan","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–26)"
"Welterweight","Wang Anying","Albert Cheng","TKO","1","5:00","(doctor stoppage)"
"Featherweight","Mark Eddiva","Jumabieke Tuerxun","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Women's Bantamweight","Ronda Rousey (c)","Sara McMann","TKO","1","1:06","(knee to the body)"
"Light Heavyweight","Daniel Cormier","Patrick Cummins","TKO","1","1:19","(punches)"
"Welterweight","Rory MacDonald","Demian Maia","Decision","3","5:00","(unanimous) (29–28, 29–28, 29–28)"
"Welterweight","Mike Pyle","TJ Waldburger","TKO","3","4:03","(elbows and punches)"
"Welterweight","Stephen Thompson","Robert Whittaker","TKO","1","3:43","(punches)"
"Women's Bantamweight","Alexis Davis","Jessica Eye","Decision","3","5:00","(split) (28–29, 29–28, 29–28)"
"Bantamweight","Raphael Assunção","Pedro Munhoz","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Bantamweight","Aljamain Sterling","Cody Gibson","Decision","3","5:00","(unanimous) (29–28, 29–28, 29–28)"
"Flyweight","Zach Makovsky","Josh Sampo","Decision","3","5:00","(unanimous) (30–27, 30–27, 29–28)"
"Lightweight","Erik Koch","Rafaello Oliveira","TKO","1","1:24","(punches)"
"Lightweight","Ernest Chavez","Yosdenis Cedeno","Decision","3","5:00","(split) (29–28, 28–29, 30–27)"
"Middleweight","Lyoto Machida","Gegard Mousasi","Decision","5","5:00","(unanimous) (49–46, 50–45, 50–45)"
"Middleweight","Ronaldo Souza","Francis Carmont","Decision","3","5:00","(unanimous) (29–28, 29–28, 30–27)"
"Welterweight","Erick Silva","Takenori Sato","TKO","1","0:52","(punches)"
"Welterweight","Nico Musoke","Viscardi Andrade","Decision","3","5:00","(unanimous) (29–28, 29–28, 29–28)"
"Featherweight","Charles Oliveira","Andy Ogle","Submission","3","2:40","(triangle choke)"
"Lightweight","Joe Proctor","Cristiano Marcello","Decision","3","5:00","(unanimous) (29–28, 30–27, 29–28)"
"Lightweight","Rodrigo Damm","Ivan Jorge","Decision","3","5:00","(unanimous) (29–28, 29–28, 29–28)"
"Lightweight","Francisco Trinaldo","Jesse Ronson","Decision","3","5:00","(split) (28–29, 29–28, 30–27)"
"Bantamweight","Iuri Alcântara","Wilson Reis","Decision","3","5:00","(split) (28–29, 30–27, 30–27)"
"Featherweight","Felipe Arantes","Maximo Blanco","Decision","3","5:00","(unanimous) (29–27, 29–27, 29–27)"
"Welterweight","Ildemar Alcântara","Albert Tumenov","Decision","3","5:00","(split) (28–29, 29–28, 30–27)"
"Featherweight","Zubaira Tukhugov","Douglas Silva de Andrade","Decision","3","5:00","(unanimous) (30–27, 29–28, 30–27)"
"Bantamweight","Renan Barão (c)","Urijah Faber","TKO","1","3:42","(punches)"
"Featherweight","José Aldo (c)","Ricardo Lamas","Decision","5","5:00","(unanimous) (49–46, 49–46, 49–46)"
"Heavyweight","Alistair Overeem","Frank Mir","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Flyweight","Ali Bagautinov","John Lineker","Decision","3","5:00","(unanimous) (29–28, 29–28, 29–28)"
"Lightweight","Abel Trujillo","Jamie Varner","KO","2","2:32","(punch)"
"Lightweight","Alan Patrick","John Makdessi","Decision","3","5:00","(unanimous) (29–28, 29–28, 30–27)"
"Flyweight","Chris Cariaso","Danny Martinez","Decision","3","5:00","(unanimous) (29–28, 29–28, 29–28)"
"Middleweight","Nick Catone","Tom Watson","Decision","3","5:00","(split) (29–28, 28–29, 30–27)"
"Lightweight","Al Iaquinta","Kevin Lee","Decision","3","5:00","(unanimous) (29–28, 29–28, 28–27)"
"Middleweight","Clint Hester","Andy Enz","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–26)"
"Lightweight","Rashid Magomedov","Tony Martin","Decision","3","5:00","(unanimous) (29–28, 29–28, 29–28)"
"Welterweight","Neil Magny","Gasan Umalatov","Decision","3","5:00","(unanimous) (29–28, 30–27, 30–27)"
"Lightweight","Benson Henderson","Josh Thomson","Decision","5","5:00","(split) (48–47, 47–48, 49–46)"
"Heavyweight","Stipe Miocic","Gabriel Gonzaga","Decision","3","5:00","(unanimous) (30–27, 30–27, 29–28)"
"Lightweight","Donald Cerrone","Adriano Martins","KO","1","4:40","(head kick)"
"Featherweight","Jeremy Stephens","Darren Elkins","Decision","3","5:00","(unanimous) (29–28, 30–27, 30–27)"
"Bantamweight","Alex Caceres","Sergio Pettis","Submission","3","4:39","(rear-naked choke)"
"Bantamweight","Eddie Wineland","Yves Jabouin","TKO","2","4:16","(punches)"
"Bantamweight","Chico Camus","Yaotzin Meza","No Contest","3","5:00","(overturned)"
"Bantamweight","Hugo Viana","Junior Hernandez","Decision","3","5:00","(unanimous) (29–28, 29–28, 29–28)"
"Lightweight","Daron Cruickshank","Mike Rio","TKO","2","4:56","(wheel kick and punches)"
"Welterweight","George Sullivan","Mike Rhodes","Decision","3","5:00","(unanimous) (29–28, 29–28, 29–28)"
"Heavyweight","Nikita Krylov","Walt Harris","TKO","1","0:25","(head kick and punches)"
"Middleweight","Luke Rockhold","Costas Philippou","TKO","1","2:31","(body kick)"
"Middleweight","Brad Tavares","Lorenz Larkin","Decision","3","5:00","(unanimous) (29–28, 29–28, 29–28)"
"Bantamweight","T.J. Dillashaw","Mike Easton","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Middleweight","Yoel Romero","Derek Brunson","TKO","3","3:23","(elbows to body)"
"Flyweight","John Moraga","Dustin Ortiz","Decision","3","5:00","(split) (29–28, 28–29, 29–28)"
"Featherweight","Cole Miller","Sam Sicilia","Submission","2","1:54","(rear-naked choke)"
"Lightweight","Ramsey Nijem","Justin Edwards","Decision","3","5:00","(unanimous) (30–27, 29–28, 29–28)"
"Lightweight","Elias Silvério","Isaac Vallie-Flagg","Decision","3","5:00","(unanimous) (29–27, 29–27, 29–27)"
"Middleweight","Trevor Smith","Brian Houston","Decision","3","5:00","(split) (29–28, 28–29, 29–28)"
"Flyweight","Louis Smolka","Alptekin Özkılıç","Decision","3","5:00","(unanimous) (29–28, 29–28, 29–28)"
"Lightweight","Vinc Pichel","Garett Whiteley","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Lightweight","Beneil Dariush","Charlie Brenneman","Submission","1","1:45","(rear-naked choke)"
"Welterweight","Tarec Saffiedine","Hyun Gyu Lim","Decision","5","5:00","(unanimous) (49–46, 48–47, 48–47)"
"Featherweight","Tatsuya Kawajiri","Sean Soriano","Submission","2","0:50","Technical  (rear-naked choke)"
"Welterweight","Kiichi Kunimoto","Luiz Dutra Jr.","Disqualification","1","2:57","(illegal elbows)"
"Bantamweight","Kyung Ho Kang","Shunichi Shimizu","Submission","3","3:53","(arm-triangle choke)"
"Featherweight","Max Holloway","Will Chope","TKO","2","2:27","(punches)"
"Lightweight","Katsunori Kikuno","Quinn Mulhern","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Bantamweight","Royston Wee","Dave Galera","Decision","3","5:00","(unanimous) (30–26, 30–26, 30–26)"
"Lightweight","Mairbek Taisumov","Tae Hyun Bang","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Bantamweight","Dustin Kimura","Jon delos Reyes","Submission","1","2:13","(armbar)"
"Bantamweight","Russell Doane","Leandro Issa","Submission","2","4:59","Technical  (triangle choke)"
"Middleweight","Chris Weidman (c)","Anderson Silva","TKO","2","1:16","(leg injury)"
"Women's Bantamweight","Ronda Rousey (c)","Miesha Tate","Submission","3","0:58","(armbar)"
"Heavyweight","Travis Browne","Josh Barnett","KO","1","1:00","(elbows)"
"Lightweight","Jim Miller","Fabrício Camões","Submission","1","3:42","(armbar)"
"Catchweight (151.5 lbs)","Dustin Poirier","Diego Brandao","KO","1","4:54","(punches)"
"Middleweight","Uriah Hall","Chris Leben","TKO","1","5:00","(retirement)"
"Lightweight","Michael Johnson","Gleison Tibau","KO","2","1:32","(punches)"
"Featherweight","Dennis Siver","Manvel Gamburyan","No Contest","3","5:00","(overturned)"
"Welterweight","John Howard","Siyar Bahadurzada","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Welterweight","William Macário","Bobby Voelker","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Featherweight","Robbie Peralta","Estevan Payan","KO","3","0:12","(punches)"
"Flyweight","Demetrious Johnson (c)","Joseph Benavidez","KO","1","2:08","(punch)"
"Bantamweight","Urijah Faber","Michael McDonald","Submission","2","3:22","(guillotine choke)"
"Featherweight","Chad Mendes","Nik Lentz","Decision","3","5:00","(unanimous) (30–27, 30–27, 29–28)"
"Lightweight","Joe Lauzon","Mac Danzig","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Welterweight","Ryan LaFlare","Court McGee","Decision","3","5:00","(unanimous) (29–28, 29–28, 29–28)"
"Lightweight","Edson Barboza","Danny Castillo","Decision","3","5:00","(majority) (29–28, 29–28, 28–28)"
"Lightweight","Bobby Green","Pat Healy","Decision","3","5:00","(unanimous) (30–27, 30–27, 29–28)"
"Flyweight","Zach Makovsky","Scott Jorgensen","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Lightweight","Sam Stout","Cody McKenzie","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Lightweight","Abel Trujillo","Roger Bowling","TKO","2","1:35","(punches)"
"Flyweight","Alptekin Özkılıç","Darren Uyenoyama","Decision","3","5:00","(split) (30–27, 28–29, 29–28)"
"Heavyweight","Mark Hunt","Antônio Silva","Draw","5","5:00","(majority) (48–47, 47–47, 47–47)"
"Light Heavyweight","Mauricio Rua","James Te Huna","KO","1","1:03","(punch)"
"Light Heavyweight","Ryan Bader","Anthony Perosh","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–26)"
"Heavyweight","Soa Palelei","Pat Barry","KO","1","2:09","(punches)"
"Middleweight","Clint Hester","Dylan Andrews","TKO","2","5:00","(doctor stoppage)"
"Women's Bantamweight","Bethe Correia","Julie Kedzie","Decision","3","5:00","(split) (29–28, 28–29, 29–28)"
"Bantamweight","Takeya Mizugaki","Nam Phan","Decision","3","5:00","(unanimous) (29–28, 29–28, 30–28)"
"Middleweight","Caio Magalhaes","Nick Ring","Decision","3","5:00","(unanimous) (29–28, 29–28, 29–28)"
"Flyweight","Justin Scoggins","Richie Vaculik","TKO","1","4:43","(punches)"
"Middleweight","Krzysztof Jotko","Bruno Santos","Decision","3","5:00","(unanimous) (29–28, 29–28, 30–27)"
"Welterweight","Alex Garcia","Ben Wall","KO","1","0:43","(punches)"
"Lightweight","Nate Diaz","Gray Maynard","TKO","1","2:38","(punches)"
"Women's Bantamweight","Julianna Peña","Jessica Rakoczy","TKO","1","4:59","(punches and elbows)"
"Bantamweight","Chris Holdsworth","Davey Grant","Submission","2","2:10","(rear-naked choke)"
"Women's Bantamweight","Jessamyn Duke","Peggy Morgan","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Women's Bantamweight","Raquel Pennington","Roxanne Modafferi","Decision","3","5:00","(unanimous) (30–27, 30–27, 29–28)"
"Featherweight","Akira Corassani","Maximo Blanco","Disqualification","1","0:25","(illegal knee)"
"Featherweight","Tom Niinimäki","Rani Yahya","Decision","3","5:00","(split) (29–28, 28–29, 30–27)"
"Heavyweight","Jared Rosholt","Walt Harris","Decision","3","5:00","(unanimous) (29–28, 29–28, 29–28)"
"Welterweight","Sean Spencer","Drew Dober","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Catchweight (127.5 lbs)","Josh Sampo","Ryan Benoit","Submission","2","4:31","(rear-naked choke)"
"Welterweight","Georges St-Pierre (c)","Johny Hendricks","Decision","5","5:00","(split) (47–48, 48–47, 48–47)"
"Light Heavyweight","Rashad Evans","Chael Sonnen","TKO","1","4:05","(punches)"
"Welterweight","Robbie Lawler","Rory MacDonald","Decision","3","5:00","(split) (29–28, 28–29, 29–28)"
"Welterweight","Tyron Woodley","Josh Koscheck","KO","1","4:38","(punches)"
"Flyweight","Ali Bagautinov","Tim Elliott","Decision","3","5:00","(unanimous) (29–28, 29–28, 30–27)"
"Lightweight","Donald Cerrone","Evan Dunham","Submission","2","3:49","(triangle choke)"
"Middleweight","Thales Leites","Ed Herman","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Welterweight","Rick Story","Brian Ebersole","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Bantamweight","Erik Perez","Edwin Figueroa","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Welterweight","Jason High","Anthony Lapsley","Decision","3","5:00","(unanimous) (29–28, 29–28, 29–28)"
"Bantamweight","Sergio Pettis","Will Campuzano","Decision","3","5:00","(unanimous) (30–27, 30–27, 29–28)"
"Light Heavyweight","Gian Villante","Cody Donovan","TKO","2","1:22","(punches)"
"Light Heavyweight","Vitor Belfort","Dan Henderson","KO","1","1:17","(head kick)"
"Middleweight","Cezar Ferreira","Daniel Sarafian","Decision","3","5:00","(split) (28–29, 30–27, 30–28)"
"Light Heavyweight","Rafael Cavalcante","Igor Pokrajac","Submission","1","1:18","(knees and punches)"
"Welterweight","Brandon Thatch","Paulo Thiago","Submission","1","2:10","(knee to the body)"
"Welterweight","Ryan LaFlare","Santiago Ponzinibbio","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Featherweight","Jeremy Stephens","Rony Jason","KO","1","0:40","(head kick)"
"Featherweight","Sam Sicilia","Godofredo Pepey","TKO","1","1:42","(punches)"
"Middleweight","Omari Akhmedov","Thiago Perpétuo","KO","1","3:31","(punches)"
"Lightweight","Thiago Tavares","Justin Salas","Submission","1","2:38","(rear-naked choke)"
"Lightweight","Adriano Martins","Daron Cruickshank","Submission","2","2:49","(straight armbar)"
"Flyweight","Dustin Ortiz","Jose Maria Tome","TKO","3","3:19","(punches)"
"Middleweight","Tim Kennedy","Rafael Natal","KO","1","4:40","(punch)"
"Women's Bantamweight","Alexis Davis","Liz Carmouche","Decision","3","5:00","(unanimous) (30–27, 30–27, 29–28)"
"Middleweight","Yoel Romero","Ronny Markes","TKO","3","1:39","(punches)"
"Lightweight","Rustam Khabilov","Jorge Masvidal","Decision","3","5:00","(unanimous) (30–27, 29–28, 30–27)"
"Lightweight","Michael Chiesa","Colton Smith","Submission","2","1:41","(rear-naked choke)"
"Lightweight","Bobby Green","James Krause","TKO","1","3:50","(body kick)"
"Bantamweight","Francisco Rivera","George Roop","TKO","2","2:20","(punches)"
"Featherweight","Dennis Bermudez","Steven Siler","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Women's Bantamweight","Amanda Nunes","Germaine de Randamie","TKO","1","3:56","(elbows)"
"Middleweight","Lorenz Larkin","Chris Camozzi","Decision","3","5:00","(unanimous) (30–27, 30–27, 29–28)"
"Lightweight","Yancy Medeiros","Yves Edwards","No Contest","1","2:47","(overturned)"
"Welterweight","Seth Baczynski","Neil Magny","Decision","3","5:00","(unanimous) (29–28, 29–28, 29–28)"
"Middleweight","Derek Brunson","Brian Houston","Submission","1","0:48","(rear-naked choke)"
"Middleweight","Lyoto Machida","Mark Muñoz","KO","1","3:10","(head kick)"
"Lightweight","Ross Pearson","Melvin Guillard","No Contest","1","1:57","(illegal knee)"
"Light Heavyweight","Jimi Manuwa","Ryan Jimmo","TKO","2","4:41","(injury)"
"Lightweight","Norman Parke","Jon Tuck","Decision","3","5:00","(unanimous) (29–28, 29–28, 30–27)"
"Middleweight","Nico Musoke","Alessio Sakara","Submission","1","3:07","Verbal  (armbar)"
"Catchweight (128 lbs)","John Lineker","Phil Harris","TKO","1","2:51","(punches)"
"Lightweight","Al Iaquinta","Piotr Hallmann","Decision","3","5:00","(unanimous) (29–28, 30–27, 30–27)"
"Middleweight","Luke Barnatt","Andrew Craig","Submission","2","2:12","(rear-naked choke)"
"Women's Bantamweight","Jéssica Andrade","Rosi Sexton","Decision","3","5:00","(unanimous) (30–26, 30–27, 30–26)"
"Featherweight","Cole Miller","Andy Ogle","Decision","3","5:00","(unanimous) (29–28, 29–28, 29–28)"
"Featherweight","Jimy Hettes","Robert Whiteford","Submission","2","2:17","Technical  (triangle choke)"
"Middleweight","Brad Scott","Michael Kuiper","Submission","1","4:17","(standing guillotine choke)"
"Heavyweight","Cain Velasquez (c)","Junior dos Santos","TKO","5","3:09","(slam and punch)"
"Heavyweight","Daniel Cormier","Roy Nelson","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Lightweight","Gilbert Melendez","Diego Sanchez","Decision","3","5:00","(unanimous) (29–28, 30–27, 29–28)"
"Heavyweight","Gabriel Gonzaga","Shawn Jordan","KO","1","1:33","(punches)"
"Flyweight","John Dodson","Darrell Montague","KO","1","4:13","(punch)"
"Middleweight","Tim Boetsch","C.B. Dollaway","Decision","3","5:00","(split) (30–26, 27–29, 30–26)"
"Welterweight","Hector Lombard","Nate Marquardt","KO","1","1:48","(punches)"
"Women's Bantamweight","Jessica Eye","Sarah Kaufman","No Contest","3","5:00","(overturned)"
"Lightweight","K.J. Noons","George Sotiropoulos","Decision","3","5:00","(unanimous) (29–28, 29–28, 30–27)"
"Welterweight","Adlan Amagov","TJ Waldburger","KO","1","3:00","(punches)"
"Lightweight","Tony Ferguson","Mike Rio","Submission","1","1:52","(D'Arce choke)"
"Catchweight (148.5 lbs)","Andre Fili","Jeremy Larsen","TKO","2","0:53","(Punches)"
"Bantamweight","Kyoji Horiguchi","Dustin Pague","TKO","2","3:51","(punches)"
"Welterweight","Jake Shields","Demian Maia","Decision","5","5:00","(split) (48–47, 47–48, 48–47)"
"Welterweight","Dong Hyun Kim","Erick Silva","KO","2","3:01","(punch)"
"Catchweight (208 lbs)","Thiago Silva","Matt Hamill","Decision","3","5:00","(unanimous) (30–27, 30–27, 29–27)"
"Light Heavyweight","Fabio Maldonado","Joey Beltran","Decision","3","5:00","(split) (28–29, 29–28, 29–28)"
"Welterweight","Rousimar Palhares","Mike Pierce","Submission","1","0:31","(heel hook)"
"Bantamweight","Raphael Assunção","T.J. Dillashaw","Decision","3","5:00","(split) (28–29, 29–28, 29–28)"
"Welterweight","Igor Araújo","Ildemar Alcantara","Decision","3","5:00","(unanimous) (29–28, 29–28, 29–28)"
"Welterweight","Yan Cabral","David Mitchell","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Flyweight","Chris Cariaso","Iliarde Santos","TKO","2","4:31","(punches)"
"Lightweight","Alan Patrick","Garett Whiteley","TKO","1","3:54","(punches)"
"Light Heavyweight","Jon Jones (c)","Alexander Gustafsson","Decision","5","5:00","(unanimous) (48–47, 48–47, 49–46)"
"Bantamweight","Renan Barão (ic)","Eddie Wineland","TKO","2","0:35","(spinning back kick and punches)"
"Heavyweight","Brendan Schaub","Matt Mitrione","Submission","1","4:06","Technical  (D'Arce choke)"
"Middleweight","Francis Carmont","Costas Philippou","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–26)"
"Lightweight","Khabib Nurmagomedov","Pat Healy","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Lightweight","Myles Jury","Mike Ricci","Decision","3","5:00","(split) (29–28, 28–29, 29–28)"
"Bantamweight","Wilson Reis","Ivan Menjivar","Decision","3","5:00","(unanimous) (29–28, 29–28, 29–28)"
"Welterweight","Stephen Thompson","Chris Clements","KO","2","1:27","(punches)"
"Bantamweight","Mitch Gagnon","Dustin Kimura","Submission","1","4:05","Technical  (guillotine choke)"
